N,execucoes,metodo_selecao,TP,NG,TC,TM,IG,custo_medio,desvio_padrao,melhor_custo,pior_custo,ganho_medio,tempo_medio
50,20,torneio,50,50,0.2,0.2,0.0,1285.95,62.033438563407074,1196,1443,44.06482064941523,0.16849079710000298
50,20,torneio,10,200,0.5,0.8,0.0,1371.1,81.38789836333163,1232,1538,43.987386500695564,0.1368245064999769
50,20,torneio,50,50,0.2,0.2,0.1,1287.95,83.4077184677773,1168,1458,43.984763327351494,0.17084557219999397
50,20,torneio,10,100,0.5,0.2,0.7,1368.95,77.93296799172991,1250,1546,43.96868229574654,0.06666669265001701
50,20,torneio,10,100,0.8,0.2,0.7,1379.95,66.98318818927626,1249,1495,43.88911922943045,0.07377679659998648
50,20,torneio,10,100,0.8,0.2,0.0,1356.05,53.13800429071457,1269,1453,43.8708871806189,0.06944191135003167
50,20,torneio,10,100,0.2,0.2,0.1,1370.1,61.137468053559424,1264,1526,43.76261419830489,0.06618624055000737
50,20,torneio,10,100,0.8,0.2,0.1,1368.4,51.7594435827898,1269,1475,43.72457057614208,0.07356940879999456
50,20,torneio,50,50,0.2,0.2,0.7,1283.0,64.87757702010765,1164,1387,43.209795972649275,0.16828860369997756
50,20,torneio,10,100,0.2,0.2,0.7,1387.75,72.05683520666169,1229,1515,43.197951211801076,0.06676596319999817
50,20,torneio,10,100,0.5,0.2,0.1,1364.15,50.40265369997893,1234,1467,43.15745752922152,0.06780473214996618
50,20,torneio,10,100,0.2,0.8,0.0,1395.6,76.1940942593322,1232,1545,43.04682755295319,0.06746224535000919
50,20,torneio,100,50,0.2,0.8,0.0,1288.15,62.59654543183674,1163,1395,42.86650421392086,0.35026647709999
50,20,torneio,10,100,0.5,0.2,0.0,1389.2,90.60551859572352,1179,1581,42.84599279095579,0.0663991697500137
50,20,torneio,10,100,0.8,0.8,0.0,1398.45,66.67793863040458,1187,1543,42.67817850309261,0.07503715464999913
50,20,torneio,10,200,0.8,0.8,0.0,1370.95,103.83182315648706,1110,1621,42.08147731102834,0.1458843506500102
50,20,torneio,50,50,0.5,0.8,0.0,1328.3,52.41001812630864,1215,1420,41.80141439915085,0.17548412514996697
50,20,torneio,100,50,0.5,0.8,0.0,1307.25,68.58999562618443,1145,1424,41.70803451469358,0.3605980783000405
50,20,torneio,50,50,0.8,0.8,0.0,1324.5,87.5131418702357,1185,1559,41.4672898125168,0.172779682300029
50,20,torneio,50,50,0.2,0.8,0.0,1341.75,50.80046751753373,1201,1421,41.42490543518182,0.1723164030000362
50,20,torneio,10,50,0.5,0.8,0.0,1429.8,94.8048521964989,1288,1598,41.33417850515442,0.03499161880004067
50,20,torneio,10,50,0.2,0.8,0.0,1417.1,82.91555945659415,1249,1596,41.05822964203414,0.03436786795000444
50,20,torneio,10,100,0.5,0.8,0.0,1401.9,88.09875140999445,1208,1540,40.75214842106152,0.06847268389998362
50,20,torneio,100,50,0.8,0.8,0.0,1338.1,53.097928396501494,1199,1432,40.56217050159687,0.38938220340003227
50,20,torneio,10,50,0.8,0.8,0.0,1478.85,78.99321173366734,1269,1601,38.86866338446679,0.03634853060000296
50,20,torneio,10,50,0.8,0.2,0.7,1510.85,66.31913373981901,1367,1641,36.90330276700559,0.03425369410000485
50,20,torneio,10,50,0.5,0.2,0.1,1554.3,82.90241251013146,1352,1738,36.16135842342139,0.034917092549994776
50,20,torneio,10,50,0.5,0.2,0.0,1555.8,102.32037920179928,1364,1736,35.91091702404014,0.03369085234998011
50,20,torneio,10,50,0.5,0.2,0.7,1568.25,79.4555693453895,1415,1712,35.89154447856019,0.03370162065000386
50,20,torneio,10,50,0.8,0.2,0.1,1565.05,88.890086623875,1403,1708,35.60456597342172,0.03409756190000053
50,20,torneio,10,50,0.2,0.2,0.1,1575.65,112.7285567192271,1312,1810,34.27415663597404,0.03326501664996613
50,20,torneio,10,50,0.2,0.2,0.7,1565.6,108.89370964385408,1257,1736,34.13328242899551,0.03303694979996408
50,20,torneio,10,50,0.2,0.2,0.0,1609.3,71.74057429377048,1446,1711,34.0122519698147,0.03376544065001781
50,20,torneio,10,50,0.8,0.2,0.0,1580.4,77.38048849677804,1474,1753,33.92103944668959,0.03398471514998391
50,20,torneio,100,10,0.5,0.8,0.1,1694.65,64.95173207852119,1531,1809,25.198256537969538,0.0748409419500149
50,20,torneio,50,10,0.8,0.8,0.7,1725.9,71.0618744475545,1585,1890,24.931814719303347,0.03695876869999211
